ID,site,hhedu,hhhage,hhhsex,hhethnic,hhsize,u05,povline,windex3,windex5,FS_score,FS
13596,korogocho,primary,22,male,Kikuyu,1,0,no_(2),lowest,second,2,Moderately insecure
13597,korogocho,primary,26,male,Luo,5,1,no_(2),highest,highest,3,Severely insecure
13599,viwandani,primary,65,female,Kikuyu,7,1,yes,middle,fourth,0,Secure
13601,viwandani,primary,36,male,Kamba,1,0,no_(2),lowest,lowest,1,Moderately insecure
13604,korogocho,never attended,64,female,Kikuyu,3,0,no_(2),middle,middle,3,Severely insecure
13606,viwandani,primary,30,female,Luhya,4,0,no_(2),highest,fourth,3,Severely insecure
13607,korogocho,secondary,18,male,Kikuyu,1,0,no_(2),lowest,lowest,2,Moderately insecure
13608,korogocho,primary,59,female,Luo,2,0,no_(2),middle,middle,2,Moderately insecure
13610,viwandani,secondary,30,male,Kamba,3,2,yes,lowest,second,3,Severely insecure
13614,viwandani,primary,46,male,Kisii,2,0,no_(2),lowest,second,3,Severely insecure
13616,korogocho,secondary,69,male,Kikuyu,4,0,yes,highest,fourth,3,Severely insecure
13619,korogocho,never attended,54,female,Other,3,0,yes,highest,highest,1,Moderately insecure
13620,viwandani,secondary,28,female,Kisii,4,1,yes,middle,middle,0,Secure
13621,korogocho,primary,50,male,Luo,2,0,no_(2),highest,fourth,0,Secure
13622,viwandani,secondary,23,male,Kikuyu,1,0,no_(2),highest,highest,0,Secure
13626,korogocho,primary,36,female,Luo,1,0,no_(2),middle,middle,2,Moderately insecure
13627,viwandani,primary,22,male,Kamba,1,0,no_(2),highest,fourth,2,Moderately insecure
13629,viwandani,secondary,34,male,Kamba,5,0,yes,middle,middle,1,Moderately insecure
13630,viwandani,secondary,38,male,Kamba,3,0,no_(2),highest,fourth,0,Secure
13631,viwandani,secondary,34,male,Kamba,3,1,yes,lowest,lowest,0,Secure
13632,korogocho,primary,30,male,Kikuyu,1,0,yes,middle,second,0,Secure
